epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.473,2.04803,2.61163,1.4323,0.96517,0.10489,0.67272,0.38006,1.36427,2.57466,1.10058,0.000468891,0.000468891,0.000468891
2,1299.83,1.41183,1.14827,1.11185,0.74572,0.87053,0.81016,0.49838,1.31377,1.38511,1.13848,0.000898435,0.000898435,0.000898435
3,1946.19,1.35578,1.00373,1.11125,0.85192,0.86159,0.88939,0.53848,1.25413,1.14038,1.11821,0.00128082,0.00128082,0.00128082
4,2597.95,1.27104,0.90265,1.07911,0.87352,0.91061,0.93676,0.61127,1.16122,0.85101,1.08799,0.00121679,0.00121679,0.00121679
5,3246.78,1.22101,0.80316,1.0545,0.8565,0.83255,0.91765,0.60604,1.12061,0.89001,1.06694,0.00114606,0.00114606,0.00114606
6,3895.87,1.22017,0.7883,1.04967,0.86024,0.89595,0.92985,0.61065,1.14448,0.84556,1.0745,0.00107532,0.00107532,0.00107532
7,4544.34,1.17323,0.73476,1.03069,0.93001,0.90565,0.96515,0.64192,1.17152,0.68676,1.1019,0.00100459,0.00100459,0.00100459
8,5192.98,1.11534,0.67091,1.01089,0.91704,0.94176,0.9675,0.66892,1.07302,0.66181,1.03881,0.000933851,0.000933851,0.000933851
9,5846.19,1.09044,0.69265,0.99188,0.92473,0.92882,0.95991,0.62882,1.12431,0.63903,1.07178,0.000863116,0.000863116,0.000863116
10,6496.38,1.06225,0.63038,0.99293,0.90647,0.91547,0.95132,0.66382,1.05793,0.62718,1.03651,0.00079238,0.00079238,0.00079238
11,7141.8,1.00613,0.57069,1.02383,0.92197,0.91393,0.94882,0.64739,1.08546,0.60665,1.0556,0.000721645,0.000721645,0.000721645
12,7786.69,1.03154,0.56461,1.03553,0.9288,0.92781,0.95895,0.65014,1.06825,0.56917,1.03092,0.000650909,0.000650909,0.000650909
13,8431.25,0.97604,0.54271,1.0115,0.91637,0.91655,0.95545,0.66867,1.05498,0.56757,1.03973,0.000580174,0.000580174,0.000580174
14,9076.63,0.93255,0.50345,0.98922,0.89724,0.93133,0.95427,0.67392,1.01099,0.55849,1.0133,0.000509438,0.000509438,0.000509438
15,9723.23,0.8985,0.47975,0.97783,0.92739,0.92093,0.95797,0.69376,0.96891,0.52805,0.99911,0.000438703,0.000438703,0.000438703
16,10368.2,0.87546,0.47921,0.96981,0.91188,0.92303,0.95254,0.6796,0.9915,0.54095,1.01056,0.000367967,0.000367967,0.000367967
17,11010.3,0.85339,0.45656,0.95363,0.89551,0.93281,0.96024,0.69584,0.96455,0.52849,0.99854,0.000297232,0.000297232,0.000297232
18,11654.4,0.82605,0.44386,0.94697,0.91225,0.92837,0.95947,0.69891,0.95314,0.51215,0.99498,0.000226497,0.000226497,0.000226497
19,12300.2,0.805,0.43428,0.93718,0.92113,0.92782,0.96313,0.71307,0.93372,0.49218,0.98508,0.000155761,0.000155761,0.000155761
20,12944.4,0.80813,0.42835,0.93592,0.92451,0.93313,0.96498,0.7039,0.95923,0.48984,0.99361,8.50255e-05,8.50255e-05,8.50255e-05
